,,,,ECE,ECE,reliability,reliability,resolution,resolution,uncertainty,uncertainty,mean_pred,mean_pred,prevalence,prevalence,Brier,Brier,constant_baseline_Brier,constant_baseline_Brier,train_prevalence,train_prevalence,share_p_lt_0.1,share_p_lt_0.1,share_p_gt_0.9,share_p_gt_0.9,p_sd,p_sd
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Experiment,Condition,Model,Test Set,,,,,,,,,,,,,,,,,,,,,,,,
Feature Shift,Disability,LightGBM,In-domain Test,0.039528017832025066,0.00048249815610537265,0.002324760284315722,6.516772052755522e-05,0.11820571267516845,0.0006234747238973097,0.24807746849500822,0.0,0.4956813360306418,0.0004824981561053543,0.45615331819861676,0.0,0.13152690387155733,0.0005502922025981332,0.24807746865637373,0.0,0.4561660211712442,0.0,0.264458640573946,0.001790758050254612,0.1348632302647402,0.001381940485110791,0.35881776611010235,0.00058764437332223
Feature Shift,Disability,LightGBM,Shifted Test,0.02722439678787417,0.00019551886885796642,0.0014078528982231669,4.377419369241108e-05,0.12072110233388343,9.724152511856148e-05,0.2477063010303208,0.0,0.47765655251998923,0.0002743059197111583,0.45210742260350617,0.0,0.12751677515633,3.9419806099018275e-05,0.2477227732526549,0.0,0.4561660211712442,0.0,0.2836702722864603,0.0012899593898425131,0.12958846201666044,0.00128079351385125,0.3611273268858592,0.0002449427736456379
Feature Shift,Disability,Logistic Regression,In-domain Test,0.05553149024560786,0.0007540851049681399,0.0038477022088280305,6.771268500483892e-05,0.08540405387345755,0.00037258222972256074,0.24807746849500822,0.0,0.5116848084442246,0.0007540851049681011,0.45615331819861676,0.0,0.16596464805180514,0.0003272535746037308,0.24807746865637373,0.0,0.4561660211712442,0.0,0.20057605781696378,0.0006683572469585767,0.0123189553525861,0.0003053226963183481,0.3005277415116628,0.00048086667904031425
Feature Shift,Disability,Logistic Regression,Shifted Test,0.04157293563296314,0.00024382837262922448,0.0024028804517261036,2.8939079888376098e-05,0.08973874771273206,0.00016096239411419593,0.2477063010303208,0.0,0.49356584612122295,0.0002506275939909579,0.45210742260350617,0.0,0.15972110277155502,0.00012891932477862065,0.2477227732526549,0.0,0.4561660211712442,0.0,0.22032823573293547,0.00031862170636705843,0.012005470595548925,0.0004194219491389865,0.3040890296300252,0.0002187284706575061
Feature Shift,Education,LightGBM,In-domain Test,0.019411403555711904,0.0028678383558110904,0.0006416342128008492,0.00019981686435684913,0.12045628941248838,0.0008126201136631989,0.24807746849500822,0.0,0.47536704178157246,0.0030379071748494833,0.45615331819861676,0.0,0.12761604031259266,0.0006242740792241142,0.24807746865637373,0.0,0.4561660211712442,0.0,0.265649472924696,0.0033225311300382372,0.10270489062527498,0.0011616348190492697,0.3512519796689351,0.000679699774747557
Feature Shift,Education,LightGBM,Shifted Test,0.013011056759173517,0.0017093012604261816,0.000320678582333064,9.526035121608851e-05,0.12460451640590675,8.21522706932381e-05,0.2477063010303208,0.0,0.4579834895198542,0.0034438284762860066,0.45210742260350617,0.0,0.12276416138130186,6.248170703960087e-05,0.2477227732526549,0.0,0.4561660211712442,0.0,0.2823933855526545,0.0023264892948937415,0.10420738530399104,0.0031400343745126365,0.3530322213967641,0.0012620338369271943
Feature Shift,Education,Logistic Regression,In-domain Test,0.03326055289686023,0.0005661887445057751,0.0016147726565328361,0.00014804774958278256,0.0895574553323285,0.0005263958308163437,0.24807746849500822,0.0,0.48941387109547696,0.0005661887445057497,0.45615331819861676,0.0,0.16007971121539533,0.00046474274517224073,0.24807746865637373,0.0,0.4561660211712442,0.0,0.194838944324188,0.0006486031004903089,0.0033261179451982473,0.0003093535334503098,0.2997748057047526,0.0005533663451828609
Feature Shift,Education,Logistic Regression,Shifted Test,0.018838945371974006,0.0010708945357387684,0.000755369829842944,6.0703818105098915e-05,0.09324231835067935,0.00012870860852389493,0.2477063010303208,0.0,0.46981724123551577,0.000770497860605381,0.45210742260350617,0.0,0.1549754108623973,0.00016039308141245538,0.2477227732526549,0.0,0.4561660211712442,0.0,0.21113514857640184,0.0013865706982597733,0.0042334949645654605,0.0001890537246918941,0.3039064407348633,0.000607851040832282
Label Noise,0% Noise,LightGBM,In-domain Test,0.020202886666791226,0.00045278723994996025,0.0006645467755020899,3.35899528106569e-05,0.1245208120025209,0.0008740469610665876,0.24807746849500822,0.0,0.476356204865408,0.0004527872399499643,0.45615331819861676,0.0,0.12353067774652249,0.0007515108824860326,0.24807746865637373,0.0,0.4561660211712442,0.0,0.27993359496448034,0.002008261419290033,0.12973033220116267,0.001127174912534911,0.3606557746728261,0.0007356931460509378
Label Noise,0% Noise,LightGBM,Shifted Test,0.011008845582862697,0.00028357661182838067,0.00020122619840478036,1.60937593219388e-05,0.12762906833522505,6.948764749134313e-05,0.2477063010303208,0.0,0.4546334743137696,0.0005305490299363565,0.45210742260350617,0.0,0.11939375303591783,4.7597808058838095e-05,0.2477227732526549,0.0,0.4561660211712442,0.0,0.2999502673131916,0.001842106456532504,0.12324754444858883,0.0011898857118504591,0.36143089334170025,0.0003023590491888883
Label Noise,0% Noise,Logistic Regression,In-domain Test,0.026638227517173225,0.0006074392290482977,0.0009471819718248937,1.545598048166052e-05,0.09213087999068231,0.0005702816651927326,0.24807746849500822,0.0,0.4827915457157899,0.0006074392290482681,0.45615331819861676,0.0,0.15641874172101994,0.0004680893633388747,0.24807746865637373,0.0,0.4561660211712442,0.0,0.23266986959505834,0.0007349352557176171,0.012078442414749896,0.0003029466080912154,0.31295942266782123,0.0004924545457588715
