Experiment,Condition,Model,Random Seed,Test Set,bin,n,mean_pred,obs_rate
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,42,In-domain Test,4,2518,0.45224874327588027,0.4193804606830818
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,42,In-domain Test,5,3052,0.5504996267050934,0.5124508519003932
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,42,In-domain Test,6,4208,0.6545459360960771,0.6057509505703422
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,42,In-domain Test,7,7268,0.7543341050813273,0.7255090809025867
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,42,In-domain Test,8,8720,0.8513288474205983,0.8230504587155963
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,42,In-domain Test,9,6827,0.9329401464365893,0.9242712758166105
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,42,Shifted Test,0,82633,0.01377466855285167,0.020960149092977384
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,42,Shifted Test,1,16512,0.1475691178623161,0.17678052325581395
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,42,Shifted Test,2,12466,0.24681726990504613,0.25517407347986526
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,42,Shifted Test,3,9600,0.3480369137724241,0.3365625
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,42,Shifted Test,4,11247,0.4518269709484242,0.440739752822975
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,42,Shifted Test,5,14137,0.5514293236755082,0.5376671146636486
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,42,Shifted Test,6,20522,0.6546205756968893,0.6286424325114511
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,42,Shifted Test,7,33087,0.7532161510653266,0.7319491038776559
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,42,Shifted Test,8,36921,0.8506208876386139,0.8488664987405542
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,42,Shifted Test,9,30975,0.9327703965739726,0.9404035512510088
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,43,In-domain Test,0,16144,0.013967190323720069,0.01263627353815659
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,43,In-domain Test,1,3506,0.14701070985876352,0.13719338277239018
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,43,In-domain Test,2,2615,0.24937299020431694,0.2390057361376673
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,43,In-domain Test,3,2004,0.35003045754518336,0.3153692614770459
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,43,In-domain Test,4,2639,0.4521664196386081,0.4319818112921561
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,43,In-domain Test,5,2992,0.5491557529863508,0.5243983957219251
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,43,In-domain Test,6,4225,0.654535305951474,0.618698224852071
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,43,In-domain Test,7,7573,0.7539600051411168,0.7287732734715436
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,43,In-domain Test,8,8351,0.8496149586012457,0.8286432762543408
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,43,In-domain Test,9,6774,0.9315242027335369,0.9176262178919398
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,43,Shifted Test,0,81880,0.013403200529776234,0.020065950170981926
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,43,Shifted Test,1,17193,0.14698327120437066,0.1751294131332519
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,43,Shifted Test,2,12567,0.24692405933761613,0.25065648126044404
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,43,Shifted Test,3,9368,0.34913864536775574,0.3403074295473954
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,43,Shifted Test,4,11791,0.45268832582744384,0.43897888219828685
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,43,Shifted Test,5,13433,0.5507657273185055,0.5458199955333879
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,43,Shifted Test,6,21086,0.6546022280602644,0.6261974769989567
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,43,Shifted Test,7,34085,0.753232185778003,0.734634003227226
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,43,Shifted Test,8,35396,0.849718928315206,0.8480901796813199
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,43,Shifted Test,9,31301,0.9314091297228997,0.9407686655378422
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,44,In-domain Test,0,16220,0.013685272986028061,0.013193588162762022
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,44,In-domain Test,1,3361,0.14849127381729677,0.1457899434692056
Feature Shift,Citizenship_Nativity_Ancestry,LightGBM,44,In-domain Test,2,2402,0.24790510148132572,0.21690258118234804
