Model,Random Seed,Test Set,Feature Group Blanked,prevalence,mean_pred_clean,mean_pred_blanked,sd_pred_clean,sd_pred_blanked,share_gt0.5_clean,share_gt0.5_blanked,corr_clean_blanked,spearman_clean_blanked,Brier_clean,Brier_blanked,AUROC_clean,AUROC_blanked
LightGBM,42,In-domain Test,Education,0.45615331819861676,0.47632285952568054,0.4737541675567627,0.3610556423664093,0.35052555799484253,0.5303486264364782,0.5312637488340989,0.9844361068566262,0.9778193262582007,0.12345018237829208,0.1275290995836258,0.9040791641747993,0.8969329814806825
LightGBM,42,Shifted Test,Education,0.45210742260350617,0.45452064275741577,0.4567970335483551,0.36173704266548157,0.35210952162742615,0.503935098843715,0.5088959343528534,0.9834458402148059,0.9779101142391777,0.1193416640162468,0.12269410490989685,0.9108665045368295,0.9054885686187097
LightGBM,43,In-domain Test,Education,0.45615331819861676,0.47592100501060486,0.4788711965084076,0.35980674624443054,0.3518725335597992,0.5305422100205902,0.5382503563697798,0.9839417784822069,0.9765152041924156,0.12282264977693558,0.12703979015350342,0.9046449041764694,0.8978959639441295
LightGBM,43,Shifted Test,Education,0.45210742260350617,0.455211341381073,0.4618636965751648,0.3611324727535248,0.3544704020023346,0.5054457292055203,0.5154270794479672,0.983631299278947,0.97687556127444,0.11940458416938782,0.12281414866447449,0.9107954432389646,0.9055680991624107
LightGBM,44,In-domain Test,Education,0.45615331819861676,0.4768247604370117,0.47347575426101685,0.36110493540763855,0.3513578474521637,0.5317389085405557,0.5311229607729264,0.9836984110451839,0.9756087586857202,0.12431919574737549,0.12827922403812408,0.9023195906855901,0.8952267215906162
LightGBM,44,Shifted Test,Education,0.45210742260350617,0.4541684091091156,0.455289751291275,0.36142316460609436,0.3525167405605316,0.5045132413278627,0.5071503170458784,0.98300643582517,0.9763520324627255,0.11943499743938446,0.12278423458337784,0.9106387599724654,0.9052996127633065
Logistic Regression,42,In-domain Test,Education,0.45615331819861676,0.4822918176651001,0.48876357078552246,0.31306180357933044,0.30007070302963257,0.5653520581454693,0.5761047463175123,0.977973745656848,0.970062423501611,0.1561613827943802,0.15989509224891663,0.845116723005837,0.8368454316733003
Logistic Regression,42,Shifted Test,Education,0.45210742260350617,0.46065542101860046,0.46955811977386475,0.31558021903038025,0.30443617701530457,0.532875792614696,0.5445318910854159,0.9820027223594243,0.9765802518213169,0.15067017078399658,0.15479165315628052,0.8552542349191907,0.8467308806835633
Logistic Regression,43,In-domain Test,Education,0.45615331819861676,0.4826151728630066,0.4897974729537964,0.31242382526397705,0.2991364002227783,0.5669887193565986,0.5790260985868398,0.9770473871988953,0.9681542172997281,0.15613578259944916,0.15973563492298126,0.844153065141504,0.8362995723027011
Logistic Regression,43,Shifted Test,Education,0.45210742260350617,0.46126827597618103,0.47068390250205994,0.3150257170200348,0.3032428026199341,0.5329690414024618,0.5443528534129056,0.9812151627212894,0.9755808926401248,0.15079167485237122,0.15504732728004456,0.855157541446641,0.8463935930285275
