Experiment,Condition,Model,Random Seed,Test Set,ECE,reliability,resolution,uncertainty,mean_pred,prevalence,Brier,constant_baseline_Brier,train_prevalence,share_p_lt_0.1,share_p_gt_0.9,p_sd
Feature Shift,Disability,LightGBM,43,Shifted Test,0.027347195645262463,0.0014485776032964316,0.12083118733477399,0.24770630103032082,0.4779027428419215,0.45210742260350617,0.12747139344152164,0.2477227732526549,0.4561660211712442,0.2822081312942932,0.13090264826557255,0.36101725697517395
Feature Shift,Disability,LightGBM,44,In-domain Test,0.0400827989424456,0.0023893875504103117,0.11748578737066075,0.24807746849500822,0.4962361171410623,0.45615331819861676,0.13216163570371725,0.24807746865637376,0.4561660211712442,0.26631821621526497,0.13626524470724882,0.3591628968715668
Feature Shift,Disability,LightGBM,44,Shifted Test,0.026998930426047247,0.0013615617232886233,0.12064690562654835,0.24770630103032082,0.47736086975335934,0.45210742260350617,0.12754251496169583,0.2477227732526549,0.4561660211712442,0.28464751958224543,0.1295188362551287,0.36095672845840454
Feature Shift,Disability,Logistic Regression,42,In-domain Test,0.05485193448204837,0.0037756378496986345,0.08578748484855342,0.24807746849500822,0.5110052526806651,0.45615331819861676,0.16562331740091904,0.24807746865637376,0.4561660211712442,0.20013022895658447,0.012389349383172307,0.30052492022514343
Feature Shift,Disability,Logistic Regression,42,Shifted Test,0.04154988508671222,0.0024283540442085255,0.08987944406939387,0.24770630103032082,0.49360096819811056,0.45210742260350617,0.15960488512174253,0.2477227732526549,0.4561660211712442,0.21996643043640432,0.01216710182767624,0.3043200373649597
Feature Shift,Disability,Logistic Regression,43,In-domain Test,0.0553997839614874,0.0038574655129311364,0.08538131481446642,0.24807746849500822,0.5115531021601042,0.45615331819861676,0.1659949034696021,0.24807746865637376,0.4561660211712442,0.20025341851011033,0.012582932967284374,0.300048291683197
Feature Shift,Disability,Logistic Regression,43,Shifted Test,0.04182747074032822,0.002408873108475181,0.0897735769736909,0.24770630103032082,0.4937970601230384,0.45210742260350617,0.15969864928700195,0.2477227732526549,0.4561660211712442,0.22045132413278629,0.012320029839612084,0.3038851022720337
Feature Shift,Disability,Logistic Regression,44,In-domain Test,0.056342752293287814,0.00391000326385432,0.08504336195735282,0.24807746849500822,0.5124960704919045,0.45615331819861676,0.16627572328489426,0.24807746865637376,0.4561660211712442,0.20134452598419655,0.01198458370730162,0.30101001262664795
Feature Shift,Disability,Logistic Regression,44,Shifted Test,0.041341451071848986,0.0023714142024946036,0.08956322209511144,0.24770630103032082,0.4932995100425198,0.45210742260350617,0.1598597739059206,0.2477227732526549,0.4561660211712442,0.22056695262961581,0.011529280119358448,0.3040619492530823
Feature Shift,Education,LightGBM,42,In-domain Test,0.017600833300666033,0.0005414910043043829,0.12061214480227911,0.24807746849500822,0.4737541514992828,0.45615331819861676,0.12752909350997255,0.24807746865637376,0.4561660211712442,0.2637136370835753,0.10212413987293878,0.35052555799484253
Feature Shift,Education,LightGBM,42,Shifted Test,0.01208193226810704,0.00027573125732445664,0.12468381290725959,0.24770630103032082,0.45679703178477,0.45210742260350617,0.12269411217021371,0.2477227732526549,0.4561660211712442,0.2809362178291682,0.10260350615441999,0.35210952162742615
Feature Shift,Education,LightGBM,43,In-domain Test,0.022717911985786814,0.0008717204904105292,0.12117969390354022,0.24807746849500822,0.4788712301844036,0.45615331819861676,0.12703979739482862,0.24807746865637376,0.4561660211712442,0.2637488340988684,0.10404237720641289,0.3518725335597992
Feature Shift,Education,LightGBM,43,Shifted Test,0.014983682849167552,0.0004300966983392473,0.12460995744702952,0.24770630103032082,0.46186369163131274,0.45210742260350617,0.12281414575736652,0.2477227732526549,0.4561660211712442,0.2811674748228273,0.10782543826930249,0.3544704020023346
Feature Shift,Education,LightGBM,44,In-domain Test,0.017915465380682866,0.0005116911436876356,0.11957702953164587,0.24807746849500822,0.47347574366103107,0.45615331819861676,0.12827923003297678,0.24807746865637376,0.4561660211712442,0.26948594759164424,0.10194815479647326,0.3513578474521637
