Experiment,Condition,Noise Rate,Missingness Type,Missing Rate,Feature Group Blanked,Model,Random Seed,Test Set,AUROC,AUPRC,Brier Score
Missingness,MAR_Female,0.0,MAR_Female,0.1,None,LightGBM,43,Shifted Test,0.6596873360612737,0.20780511975284752,0.21050477931049888
Missingness,MAR_Female,0.0,MAR_Female,0.2,None,Logistic Regression,43,In-domain Test,0.6246493169822924,0.1907952158177051,0.22701981265926688
Missingness,MAR_Female,0.0,MAR_Female,0.2,None,Logistic Regression,43,Shifted Test,0.6224598095104862,0.1796502794923767,0.21902687626463194
Missingness,MAR_Female,0.0,MAR_Female,0.2,None,LightGBM,43,In-domain Test,0.6645211002158216,0.20927427083420982,0.21171558692440576
Missingness,MAR_Female,0.0,MAR_Female,0.2,None,LightGBM,43,Shifted Test,0.6630934144720736,0.2065199711426869,0.21004246542446164
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.0,None,Logistic Regression,43,In-domain Test,0.6216361940752239,0.18933755166450017,0.22632099550644724
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.0,None,Logistic Regression,43,Shifted Test,0.6240543722822602,0.17956501420259235,0.21901900736972826
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.0,None,LightGBM,43,In-domain Test,0.66489040245203,0.21026593715645064,0.2126215987159103
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.0,None,LightGBM,43,Shifted Test,0.6608511407220883,0.20303904048212035,0.21061559932316853
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.1,None,Logistic Regression,43,In-domain Test,0.6226583066997644,0.1893062430907731,0.22570449953313962
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.1,None,Logistic Regression,43,Shifted Test,0.622855011133261,0.17916293384226692,0.21828004433908826
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.1,None,LightGBM,43,In-domain Test,0.6634755104001548,0.21089506086858562,0.21251745024764176
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.1,None,LightGBM,43,Shifted Test,0.6588184753844182,0.20229001841553595,0.21049366937798902
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.2,None,Logistic Regression,43,In-domain Test,0.6214373964445179,0.1890794742607385,0.22596722428794028
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.2,None,Logistic Regression,43,Shifted Test,0.6215586565476399,0.17864700281931564,0.21934097785646484
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.2,None,LightGBM,43,In-domain Test,0.6633438695756552,0.21176093215971886,0.21251016612030532
Missingness,MAR_Age_Older,0.0,MAR_Age_Older,0.2,None,LightGBM,43,Shifted Test,0.658249571573462,0.20422971631499034,0.20884533098160768
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,Logistic Regression,43,In-domain Test,0.6166172281166693,0.18922908149752204,0.4134564586173486
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,Logistic Regression,43,Shifted Test,0.6303305004721436,0.176137969450056,0.41600659981238775
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,LightGBM,43,In-domain Test,0.6492777814030306,0.20489324744077742,0.19611229360293317
Feature Shift,Diagnoses,0.0,None,0.0,Diagnoses,LightGBM,43,Shifted Test,0.6519693631308362,0.18583728235749833,0.19335228643829705
Feature Shift,Medications,0.0,None,0.0,Medications,Logistic Regression,43,In-domain Test,0.6226395249468631,0.19017055989401963,0.4085347682162121
Feature Shift,Medications,0.0,None,0.0,Medications,Logistic Regression,43,Shifted Test,0.6217339908369182,0.17752421341294344,0.404672739640001
Feature Shift,Medications,0.0,None,0.0,Medications,LightGBM,43,In-domain Test,0.6628070967094128,0.2085016720803136,0.19727675607719627
Feature Shift,Medications,0.0,None,0.0,Medications,LightGBM,43,Shifted Test,0.6545827067230907,0.20156122076929164,0.1873962714432369
Baseline,None,0.0,None,0.0,None,Logistic Regression,44,In-domain Test,0.6306131792557462,0.20418943630683267,0.228598171559372
Baseline,None,0.0,None,0.0,None,Logistic Regression,44,Shifted Test,0.6253402347894006,0.18269998131507165,0.22974091317089393
Baseline,None,0.0,None,0.0,None,LightGBM,44,In-domain Test,0.6747521314342932,0.23344809355999527,0.2145486939088135
Baseline,None,0.0,None,0.0,None,LightGBM,44,Shifted Test,0.6630158896699658,0.20913814931697866,0.21518672185248008
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,44,In-domain Test,0.6306131792557462,0.20418943630683267,0.228598171559372
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,44,Shifted Test,0.6253402347894006,0.18269998131507165,0.22974091317089393
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,44,In-domain Test,0.6747521314342932,0.23344809355999527,0.2145486939088135
Label Noise,0% Noise,0.0,None,0.0,None,LightGBM,44,Shifted Test,0.6630158896699658,0.20913814931697866,0.21518672185248008
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,44,In-domain Test,0.6221628282350748,0.19804060492491177,0.23662122681632114
