Experiment,Condition,Model,Random Seed,Test Set,ECE,reliability,resolution,uncertainty,mean_pred,prevalence,Brier,constant_baseline_Brier,train_prevalence,share_p_lt_0.1,share_p_gt_0.9,p_sd
Feature Shift,Medications,Logistic Regression,43,Shifted Test,0.5487254341994765,0.3131274933049439,0.0021064532296581175,0.0932746213237839,0.6527663963587147,0.10411443739861377,0.40467273944958876,0.09333131191743436,0.11164375301495418,0.0025070048665388586,0.02241557292434744,0.1452580690383911
Feature Shift,Medications,Logistic Regression,44,In-domain Test,0.5668567361027985,0.33275227577445826,0.0028209224435140983,0.10248151932946344,0.682775389679236,0.11591865357643759,0.43245283319502004,0.10250046154094353,0.1115663884788045,0.0015427769985974754,0.0394109396914446,0.14774909615516663
Feature Shift,Medications,Logistic Regression,44,Shifted Test,0.5814931812689154,0.34894484876480136,0.002233992326393981,0.0932746213237839,0.6856076186675292,0.10411443739861377,0.44051512161483997,0.09333015289868547,0.1115663884788045,0.0004424126235068574,0.031116354519982303,0.13857538998126984
Label Noise,0% Noise,LightGBM,42,In-domain Test,0.33015322762073185,0.11594049431996803,0.00498296554197702,0.1003566286610174,0.44331557260382093,0.11316234498308907,0.2112899358827701,0.10036071364647352,0.11114121028789863,0.0072576099210823,7.046223224351747e-05,0.14782090485095978
Label Noise,0% Noise,LightGBM,42,Shifted Test,0.3453929331238784,0.12755779209386517,0.0036959931286225274,0.0932746213237839,0.4495073705224922,0.10411443739861377,0.2172872299993261,0.09332399686102151,0.11114121028789863,0.006488718478100575,0.0010322961215160006,0.14229227602481842
Label Noise,0% Noise,LightGBM,43,In-domain Test,0.32488027622571825,0.11438696068278147,0.004018400888267738,0.10200049589385426,0.44017323950017856,0.11529296327446033,0.21262159878552245,0.10201381262937234,0.11164375301495418,0.011494252873563218,0.00014017381553125876,0.15467779338359833
Label Noise,0% Noise,LightGBM,43,Shifted Test,0.33377846417205026,0.12056964272784662,0.0036634382689962695,0.0932746213237839,0.4378929015706641,0.10411443739861377,0.21061559916850245,0.09333131191743436,0.11164375301495418,0.013567320454210293,0.0,0.15018659830093384
Label Noise,0% Noise,LightGBM,44,In-domain Test,0.3299413314102241,0.11695464266873931,0.00491451668906375,0.10248151932946344,0.4458599849866617,0.11591865357643759,0.21454869372758495,0.10250046154094353,0.1115663884788045,0.005820476858345021,7.012622720897616e-05,0.1523589789867401
Label Noise,0% Noise,LightGBM,44,Shifted Test,0.3412933360684711,0.12562521305708682,0.0037326000865042465,0.0932746213237839,0.44529956330452813,0.10411443739861377,0.21518672200252745,0.09333015289868547,0.1115663884788045,0.00840583984663029,0.0005898834980091432,0.14784421026706696
Label Noise,0% Noise,Logistic Regression,42,In-domain Test,0.33803806524163216,0.12591711673402597,0.003270459954566154,0.1003566286610174,0.45120041022472124,0.11316234498308907,0.22350752051321113,0.10036071364647352,0.11114121028789863,0.011837655016910935,0.0046505073280721535,0.1599571406841278
