Experiment,Condition,Model,Random Seed,Test Set,bin,n,mean_pred,obs_rate
Feature Shift,Diagnoses,LightGBM,44,In-domain Test,1,257,0.14475659350592804,0.023346303501945526
Feature Shift,Diagnoses,LightGBM,44,In-domain Test,2,2397,0.2660446841678472,0.05214851898206091
Feature Shift,Diagnoses,LightGBM,44,In-domain Test,3,3504,0.34666038702612056,0.07705479452054795
Feature Shift,Diagnoses,LightGBM,44,In-domain Test,4,2651,0.45638875284989977,0.1010939268200679
Feature Shift,Diagnoses,LightGBM,44,In-domain Test,5,3272,0.5487388386083698,0.1363080684596577
Feature Shift,Diagnoses,LightGBM,44,In-domain Test,6,1473,0.6407997719463004,0.22063815342837745
Feature Shift,Diagnoses,LightGBM,44,In-domain Test,7,534,0.7466403141003869,0.2902621722846442
Feature Shift,Diagnoses,LightGBM,44,In-domain Test,8,103,0.8281366975562087,0.5631067961165048
Feature Shift,Diagnoses,LightGBM,44,In-domain Test,9,0,,
Feature Shift,Diagnoses,LightGBM,44,Shifted Test,0,44,0.08879900723695755,0.0
Feature Shift,Diagnoses,LightGBM,44,Shifted Test,1,124,0.13606378994882107,0.016129032258064516
Feature Shift,Diagnoses,LightGBM,44,Shifted Test,2,1052,0.2670930687465595,0.05228136882129278
Feature Shift,Diagnoses,LightGBM,44,Shifted Test,3,1552,0.34460810687124116,0.06829896907216494
Feature Shift,Diagnoses,LightGBM,44,Shifted Test,4,1301,0.4565339105849446,0.09377401998462721
Feature Shift,Diagnoses,LightGBM,44,Shifted Test,5,1710,0.5528505288369474,0.11695906432748537
Feature Shift,Diagnoses,LightGBM,44,Shifted Test,6,842,0.6388893270435922,0.2042755344418052
Feature Shift,Diagnoses,LightGBM,44,Shifted Test,7,114,0.7494818991736362,0.2631578947368421
Feature Shift,Diagnoses,LightGBM,44,Shifted Test,8,41,0.8363639944937171,0.43902439024390244
Feature Shift,Diagnoses,LightGBM,44,Shifted Test,9,1,0.9015204310417175,1.0
Feature Shift,Diagnoses,Logistic Regression,42,In-domain Test,0,0,,
Feature Shift,Diagnoses,Logistic Regression,42,In-domain Test,1,8,0.18552140146493912,0.0
Feature Shift,Diagnoses,Logistic Regression,42,In-domain Test,2,7,0.23063674782003676,0.0
Feature Shift,Diagnoses,Logistic Regression,42,In-domain Test,3,21,0.3829489932173774,0.0
Feature Shift,Diagnoses,Logistic Regression,42,In-domain Test,4,396,0.4757005144851376,0.05303030303030303
Feature Shift,Diagnoses,Logistic Regression,42,In-domain Test,5,4463,0.5626651246452075,0.06609903652251849
Feature Shift,Diagnoses,Logistic Regression,42,In-domain Test,6,6415,0.6449948434985808,0.10802805923616524
Feature Shift,Diagnoses,Logistic Regression,42,In-domain Test,7,2190,0.7392680664312894,0.17899543378995433
Feature Shift,Diagnoses,Logistic Regression,42,In-domain Test,8,557,0.838224727332699,0.2621184919210054
Feature Shift,Diagnoses,Logistic Regression,42,In-domain Test,9,135,0.9349486836680659,0.43703703703703706
Feature Shift,Diagnoses,Logistic Regression,42,Shifted Test,0,0,,
Feature Shift,Diagnoses,Logistic Regression,42,Shifted Test,1,4,0.1783084124326706,0.25
Feature Shift,Diagnoses,Logistic Regression,42,Shifted Test,2,0,,
Feature Shift,Diagnoses,Logistic Regression,42,Shifted Test,3,2,0.37790238857269287,0.0
Feature Shift,Diagnoses,Logistic Regression,42,Shifted Test,4,152,0.4754094804980253,0.039473684210526314
Feature Shift,Diagnoses,Logistic Regression,42,Shifted Test,5,2091,0.5617117741813733,0.06121472979435677
Feature Shift,Diagnoses,Logistic Regression,42,Shifted Test,6,3110,0.6453833965243251,0.0977491961414791
Feature Shift,Diagnoses,Logistic Regression,42,Shifted Test,7,1107,0.7387507137890431,0.16892502258355918
Feature Shift,Diagnoses,Logistic Regression,42,Shifted Test,8,262,0.8357765037594861,0.23282442748091603
Feature Shift,Diagnoses,Logistic Regression,42,Shifted Test,9,53,0.9380912319669183,0.3584905660377358
Feature Shift,Diagnoses,Logistic Regression,43,In-domain Test,0,0,,
Feature Shift,Diagnoses,Logistic Regression,43,In-domain Test,1,0,,
Feature Shift,Diagnoses,Logistic Regression,43,In-domain Test,2,12,0.28219784547885257,0.0
Feature Shift,Diagnoses,Logistic Regression,43,In-domain Test,3,25,0.3472680926322937,0.08
Feature Shift,Diagnoses,Logistic Regression,43,In-domain Test,4,119,0.4583383485549638,0.05042016806722689
Feature Shift,Diagnoses,Logistic Regression,43,In-domain Test,5,2476,0.5684446147936418,0.07390953150242327
Feature Shift,Diagnoses,Logistic Regression,43,In-domain Test,6,6784,0.6498918841100948,0.0972877358490566
Feature Shift,Diagnoses,Logistic Regression,43,In-domain Test,7,3670,0.7406906349944808,0.13950953678474115
Feature Shift,Diagnoses,Logistic Regression,43,In-domain Test,8,990,0.8404101120703148,0.21313131313131314
Feature Shift,Diagnoses,Logistic Regression,43,In-domain Test,9,192,0.9348792269205054,0.3697916666666667
Feature Shift,Diagnoses,Logistic Regression,43,Shifted Test,0,0,,
Feature Shift,Diagnoses,Logistic Regression,43,Shifted Test,1,0,,
Feature Shift,Diagnoses,Logistic Regression,43,Shifted Test,2,4,0.28239409625530243,0.25
Feature Shift,Diagnoses,Logistic Regression,43,Shifted Test,3,8,0.36645133793354034,0.0
Feature Shift,Diagnoses,Logistic Regression,43,Shifted Test,4,58,0.47038995551651924,0.017241379310344827
Feature Shift,Diagnoses,Logistic Regression,43,Shifted Test,5,1267,0.5676829134655826,0.05761641673243883
Feature Shift,Diagnoses,Logistic Regression,43,Shifted Test,6,3148,0.6511205187898125,0.08767471410419314
Feature Shift,Diagnoses,Logistic Regression,43,Shifted Test,7,1759,0.7408844226459809,0.1381466742467311
Feature Shift,Diagnoses,Logistic Regression,43,Shifted Test,8,455,0.8365138497981396,0.1934065934065934
Feature Shift,Diagnoses,Logistic Regression,43,Shifted Test,9,82,0.9357797503471375,0.2926829268292683
Feature Shift,Diagnoses,Logistic Regression,44,In-domain Test,0,0,,
Feature Shift,Diagnoses,Logistic Regression,44,In-domain Test,1,2,0.1920609101653099,0.0
Feature Shift,Diagnoses,Logistic Regression,44,In-domain Test,2,14,0.22407386345522745,0.0
Feature Shift,Diagnoses,Logistic Regression,44,In-domain Test,3,10,0.37506049275398257,0.0
Feature Shift,Diagnoses,Logistic Regression,44,In-domain Test,4,534,0.47615107536762397,0.056179775280898875
Feature Shift,Diagnoses,Logistic Regression,44,In-domain Test,5,4792,0.5594180574102673,0.07220367278797997
Feature Shift,Diagnoses,Logistic Regression,44,In-domain Test,6,5786,0.6438684451654219,0.11510542689249914
Feature Shift,Diagnoses,Logistic Regression,44,In-domain Test,7,2296,0.7400167921901996,0.16506968641114983
Feature Shift,Diagnoses,Logistic Regression,44,In-domain Test,8,646,0.8401521655612686,0.23993808049535603
Feature Shift,Diagnoses,Logistic Regression,44,In-domain Test,9,180,0.9395665387312572,0.42777777777777776
Feature Shift,Diagnoses,Logistic Regression,44,Shifted Test,0,0,,
Feature Shift,Diagnoses,Logistic Regression,44,Shifted Test,1,1,0.18715240061283112,0.0
Feature Shift,Diagnoses,Logistic Regression,44,Shifted Test,2,3,0.21087430914243063,0.3333333333333333
Feature Shift,Diagnoses,Logistic Regression,44,Shifted Test,3,1,0.397673636674881,0.0
Feature Shift,Diagnoses,Logistic Regression,44,Shifted Test,4,157,0.47884333076750396,0.025477707006369428
