Experiment,Condition,Noise Rate,Missingness Type,Missing Rate,Feature Group Blanked,Model,Test Set,mean_AUROC,std_AUROC,mean_AUPRC,std_AUPRC,mean_Brier_Score,std_Brier_Score,n_seeds
Label Noise,0% Noise,0.0,None,0.0,None,Logistic Regression,Shifted Test,0.8788269675522985,5.6375960391704675e-05,0.8155840992118005,3.0644008046736244e-05,0.13673710180071008,4.467944203460273e-05,3
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,Generalization Gap (Shifted - In-domain),0.007278305240475125,0.001403219981850012,0.013791738462143507,0.0011954278808884477,-0.003926668259947762,0.0006108621123974632,3
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,In-domain Test,0.902315723880271,0.001447185897010081,0.8593213179903186,0.0014958958446708618,0.12931001844471518,0.0005786791431697078,3
Label Noise,10% Noise,0.1,None,0.0,None,LightGBM,Shifted Test,0.9095940291207462,4.879330625812089e-05,0.8731130564524623,0.0004479189406795677,0.12538335018476743,4.535572057823474e-05,3
Label Noise,10% Noise,0.1,None,0.0,None,Logistic Regression,Generalization Gap (Shifted - In-domain),0.010140629045087354,0.000647426391459007,0.01528650845376193,0.0007763505903279526,-0.00574273008009583,0.0002759231007230643,3
Label Noise,10% Noise,0.1,None,0.0,None,Logistic Regression,In-domain Test,0.8672834988935244,0.0006847135952144351,0.7989544132897933,0.0008796354363818058,0.14984453327681144,0.00024478310438638543,3
Label Noise,10% Noise,0.1,None,0.0,None,Logistic Regression,Shifted Test,0.8774241279386118,7.146515939172617e-05,0.8142409217435552,0.0002691302874019902,0.1441018031967156,3.1491635787480525e-05,3
Label Noise,20% Noise,0.2,None,0.0,None,LightGBM,Generalization Gap (Shifted - In-domain),0.007253830776590142,0.0012974614955501883,0.013750000151854866,0.001505261214344926,-0.0032908667397653544,0.00042452682735255023,3
Label Noise,20% Noise,0.2,None,0.0,None,LightGBM,In-domain Test,0.9003690333429478,0.0014089305224863995,0.8556871204960871,0.0020348409187004065,0.1455328250908193,0.0006630711721258499,3
Label Noise,20% Noise,0.2,None,0.0,None,LightGBM,Shifted Test,0.907622864119538,0.00036318042886964466,0.869437120647942,0.0008348335224108343,0.14224195835105394,0.0003503492692509006,3
Label Noise,20% Noise,0.2,None,0.0,None,Logistic Regression,Generalization Gap (Shifted - In-domain),0.010019551296281034,0.0008040725429979477,0.015005392630703959,0.0011422498977425404,-0.004701286636151066,0.00022766830654825023,3
Label Noise,20% Noise,0.2,None,0.0,None,Logistic Regression,In-domain Test,0.8666777683346497,0.0005004649960246747,0.7980827165935597,0.0007631990065411193,0.16486667144265774,0.00025384811779785837,3
Label Noise,20% Noise,0.2,None,0.0,None,Logistic Regression,Shifted Test,0.8766973196309307,0.00041902441211201226,0.8130881092242636,0.0008651160469962902,0.16016538480650666,0.00025495781704256066,3
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,Generalization Gap (Shifted - In-domain),0.007301637153982465,0.0012559820298094697,0.013784694224054853,0.0012537200531891927,-0.004201506940970157,0.0006826015511567263,3
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,In-domain Test,0.9029563035435184,0.001401543393165491,0.8605300740513205,0.0014995759332155664,0.1251035146935224,0.0007133671512954777,3
Label Noise,5% Noise,0.05,None,0.0,None,LightGBM,Shifted Test,0.9102579406975009,0.00024066485490973363,0.8743147682753755,0.0005221021819207715,0.12090200775255226,0.00011664391522018996,3
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,Generalization Gap (Shifted - In-domain),0.01024679739941529,0.0006584850244964298,0.015561451022267544,0.0007883487857843277,-0.006070431742967629,0.0003083523372332021,3
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,In-domain Test,0.8677842089841317,0.0007072343627968871,0.7994966991822537,0.0008721949975677959,0.14521728112390955,0.00032674476024502314,3
Label Noise,5% Noise,0.05,None,0.0,None,Logistic Regression,Shifted Test,0.878031006383547,6.923445659584632e-05,0.8150581502045213,8.997558232264166e-05,0.13914684938094193,1.8475499046059673e-05,3
